Month	Revenue	OperatingExpense	Payroll	AccountsReceivable	AccountsPayable	NetCashFlow
1	907000000	574000000	194000000	258000000	176000000	-36000000
2	878000000	688000000	424000000	337000000	210000000	-394000000
3	906000000	463000000	219000000	222000000	210000000	271000000
4	1302000000	467000000	150000000	273000000	84000000	600000000
5	1573000000	371000000	153000000	211000000	269000000	1013000000
6	889000000	394000000	222000000	114000000	50000000	163000000
7	1681000000	887000000	394000000	185000000	280000000	589000000
8	875000000	612000000	325000000	317000000	287000000	-160000000
9	1879000000	878000000	311000000	56000000	243000000	985000000
10	1850000000	744000000	425000000	298000000	254000000	612000000
11	1844000000	332000000	242000000	92000000	289000000	1515000000
12	1336000000	474000000	321000000	222000000	240000000	665000000
13	950000000	767000000	348000000	343000000	212000000	-412000000
14	1187000000	900000000	195000000	236000000	46000000	11000000
15	1520000000	534000000	357000000	322000000	296000000	668000000
16	922000000	594000000	403000000	169000000	287000000	-32000000
17	1114000000	849000000	377000000	243000000	276000000	-188000000
18	820000000	437000000	383000000	148000000	50000000	-153000000
19	1520000000	578000000	372000000	265000000	40000000	252000000
20	928000000	822000000	331000000	95000000	82000000	-248000000
21	817000000	848000000	343000000	87000000	246000000	-328000000
22	1460000000	568000000	391000000	66000000	211000000	632000000
23	1513000000	324000000	233000000	264000000	72000000	827000000
24	1094000000	681000000	270000000	90000000	69000000	196000000
25	1862000000	696000000	425000000	206000000	114000000	762000000
26	1396000000	698000000	338000000	114000000	212000000	470000000
27	1044000000	470000000	347000000	271000000	71000000	96000000
28	1078000000	765000000	160000000	228000000	270000000	297000000
29	1723000000	611000000	369000000	64000000	121000000	813000000
30	1465000000	829000000	413000000	334000000	110000000	-34000000
31	1824000000	407000000	429000000	238000000	155000000	1013000000
32	1967000000	648000000	197000000	189000000	299000000	1174000000
33	1216000000	629000000	285000000	253000000	62000000	231000000
34	1825000000	382000000	250000000	308000000	142000000	1101000000
35	835000000	498000000	287000000	339000000	158000000	-230000000
36	1449000000	385000000	324000000	333000000	108000000	632000000
37	1894000000	438000000	397000000	302000000	243000000	1078000000
38	857000000	563000000	445000000	298000000	214000000	-254000000
39	1259000000	813000000	214000000	53000000	293000000	439000000
40	1997000000	425000000	176000000	234000000	275000000	1409000000
41	1661000000	623000000	333000000	160000000	269000000	781000000
42	1194000000	485000000	345000000	81000000	252000000	511000000
43	1824000000	571000000	239000000	336000000	232000000	884000000
44	941000000	603000000	212000000	185000000	297000000	327000000
